"part","sal_conc","caffeine_conc","abs","dissolved_sal_conc"
1,0.05,0.04,0.23,0.0164285714285714
2,0.05,0.05,0.22,0.0157142857142857
3,0.05,0.06,0.24,0.0171428571428571
4,0.05,0.075,0.25,0.0178571428571429
5,0.05,0.1,0.26,0.0185714285714286
6,0.05,0.125,0.24,0.0171428571428571
7,0.05,0.165,0.27,0.0192857142857143
8,0.05,0.205,0.3,0.0214285714285714
9,0.05,0.25,0.25,0.0178571428571429
10,0.05,0.3,0.28,0.02
11,0.05,0.34,0.29,0.0207142857142857
12,0.05,0.375,0.3,0.0214285714285714
13,0.05,0.41,0.28,0.02
14,0.05,0.45,0.29,0.0207142857142857
15,0.05,0.5,0.29,0.0207142857142857
16,0.05,0.575,0.27,0.0192857142857143
17,0.05,0.625,0.23,0.0164285714285714
18,0.05,0.69,0.19,0.0135714285714286
19,0.05,0.75,0.18,0.0128571428571429
